epoch,acc,iou,loss,lr,precision_3,recall_3,val_acc,val_iou,val_loss,val_precision_3,val_recall_3
0,0.7968176603317261,0.1746957153081894,0.49585863947868347,1e-04,0.38755449652671814,0.42799243330955505,0.8409838080406189,0.11900973320007324,0.5070680379867554,0.23010380566120148,0.00010639072570484132
1,0.8619917035102844,0.20968447625637054,0.39634647965431213,1e-04,0.6091715693473816,0.4363976716995239,0.8409928679466248,0.09288440644741058,0.42370733618736267,0.02604166604578495,7.999302397365682e-06
2,0.8798016905784607,0.2428923398256302,0.3491126596927643,1e-04,0.6940070986747742,0.48106303811073303,0.8419793248176575,0.10067436099052429,0.4151814579963684,0.5677199363708496,0.02860150672495365
3,0.8914204239845276,0.27020683884620667,0.3160257041454315,1e-04,0.7468222975730896,0.5192524790763855,0.8471518158912659,0.18927569687366486,0.3970180153846741,0.5531117916107178,0.25967174768447876
4,0.9012017846107483,0.29616042971611023,0.289933443069458,1e-04,0.7865633368492126,0.5567612648010254,0.857067346572876,0.24554423987865448,0.38387125730514526,0.5817040205001831,0.42536771297454834
5,0.910610020160675,0.3247922360897064,0.2661057710647583,1e-04,0.8214154839515686,0.5954863429069519,0.8610853552818298,0.26644769310951233,0.3777705430984497,0.5915988087654114,0.4734403192996979
6,0.9199234247207642,0.3558255732059479,0.24383388459682465,1e-04,0.8525408506393433,0.6353336572647095,0.8569825291633606,0.28078848123550415,0.3910059332847595,0.5685116648674011,0.5165469646453857
7,0.9288052916526794,0.38919928669929504,0.2221461534500122,1e-04,0.8769554495811462,0.6774841547012329,0.8597061038017273,0.2771250307559967,0.38402774930000305,0.5845819115638733,0.4796805679798126
8,0.936369001865387,0.4217667579650879,0.20247702300548553,1e-04,0.8928049802780151,0.7171916365623474,0.8606830835342407,0.28282028436660767,0.4006189703941345,0.5900914669036865,0.47131970524787903
9,0.9409564137458801,0.4485592842102051,0.18747340142726898,1e-04,0.9001967906951904,0.7432570457458496,0.8590106964111328,0.3005189001560211,0.41215744614601135,0.5748407244682312,0.5264613032341003
10,0.9366450309753418,0.45066577196121216,0.18975117802619934,1e-05,0.8730239272117615,0.7418305277824402,0.8721299767494202,0.3136043846607208,0.3441723883152008,0.6296150088310242,0.5364804267883301
11,0.9462084174156189,0.47254854440689087,0.1724557876586914,1e-05,0.9084440469741821,0.7728328108787537,0.8718452453613281,0.3142342269420624,0.3435007631778717,0.6264102458953857,0.543541431427002
12,0.9488118290901184,0.48142004013061523,0.16737090051174164,1e-05,0.9142902493476868,0.7853726148605347,0.8714786767959595,0.31441667675971985,0.34413114190101624,0.6241489052772522,0.5460147857666016
13,0.9505849480628967,0.48838233947753906,0.16362978518009186,1e-05,0.917911171913147,0.7942826151847839,0.8705896735191345,0.3153563439846039,0.3462524116039276,0.6194592714309692,0.549497663974762
14,0.9520620107650757,0.4946478307247162,0.16034094989299774,1e-05,0.9210588335990906,0.801598846912384,0.869922399520874,0.3167807459831238,0.3482947051525116,0.6157305836677551,0.5538501143455505
15,0.9533277750015259,0.500375509262085,0.15738442540168762,1e-05,0.923774778842926,0.8077881932258606,0.8692367672920227,0.31843122839927673,0.3507857322692871,0.611871063709259,0.5587432980537415
16,0.9547250270843506,0.5074883699417114,0.15410907566547394,1e-06,0.9227415323257446,0.8199760317802429,0.8758865594863892,0.30577319860458374,0.32956448197364807,0.6591069102287292,0.5015450716018677
17,0.9553057551383972,0.5085324048995972,0.1530964970588684,1e-06,0.9261450171470642,0.8202146887779236,0.8750694394111633,0.3066198527812958,0.3317451477050781,0.6531453132629395,0.5062918663024902
18,0.9555266499519348,0.5090374946594238,0.15266595780849457,1e-06,0.9276230931282043,0.8199957609176636,0.8745107054710388,0.3073042631149292,0.33336105942726135,0.6490444540977478,0.5099227428436279
19,0.9557008147239685,0.5095365643501282,0.15230843424797058,1e-06,0.9286348223686218,0.8200072646141052,0.8742486238479614,0.3075462877750397,0.33421313762664795,0.6472317576408386,0.5113130211830139
